answer,correction
estradoil,estradiol
budesomide,budesonide
montalukast,montelukast
lontec,longtec
trimethoprin,trimethoprim
simavastatin,simvastatin
tolerodine,tolterodine
atotrvastatin,atorvastatin
sulfasazine,sulfasalzine
tyroxine,thyroxine
citalapram,citalopram
domperidome,domperidone
cetirazine,cetirizine
fluoxotine,fluoxetine
doxadozin,doxasozin
invermectin,ivermectin
amllodipine,amlodipine
vitamind,vitamin d
bendroflumethtazide,bendroflumethiazide
amatripline,amatriptline
asparin,asprin
yaltformin,yaltormin
levo-thyroxin,levothyroxin
bimaprost,limaprost
desorex,denorex
citilopram,citalopram
beclamethcasone,beclamethasone
tegratol,tegretol
acertretin,acetretin
doxycyline,doxycycline
fexofendodine,fexofenodine
cetriizine,cetirizine
simvastitin,simvastatin
lansoprozole,lansoprazole
amplodine,amlodine
bisoprolo,bisoprolol
aplodipine,amlodipine
alfad,alfa
fesoterodinr,fesoterodine
fliconase,flixonase
ibubrofen,ibuprofen
levothyrixine,levothyroxine
lansoprazone,lansoprazole
emeprazole,omeprazole
optanol,ortanol
celeste,eleste
adcal,ad-cal
candersartan,candesartan
amyitriptiline,amytriptiline
mitazapine,mirtazapine
volterol,voltarol
rivaoxiban,rivaroxiban
perindoprip,perindopril
montelukas,montelukast
klinovance,kliovance
amittiptyline,amitriptyline
escatalipram,escitalipram
levothryroxine,levothyroxine
pantoprpzole,pantoprazole
allopurimol,allopurinol
carbrimazole,carbimazole
fenbrid,fenbid
atrocastatin,atrovastatin
proplanolol,propranolol
rizatripan,rizatriptan
coil,oil
quitipine,quitiapine
seretride,seretide
prostab,prostat
pregabelin,pregabalin
setraline,sertraline
calcipqotriol,calcipotriol
sertealine,sertraline
dapaglifozin,dapagliflozin
astorvastatin,atorvastatin
landoprazole,lansoprazole
quinnine,quinine
fluoxentine,fluoxetine
propranonol,propranolol
doxycyclind,doxycycline
doxszosin,doxazosin
buesonide,budesonide
caici-d,calci-d
amlodipline,amlodipine
cetalopram,citalopram
atorvasatin,atorvastatin
fexofenafine,fexofenadine
valsartin,valsartan
nitrofurantodine,nitrofurantoine
llansoprazole,lansoprazole
omeorazole,omeprazole
esompeprazole,esomeprazole
candasartsan,candasartan
quar,qvar
rosuvastain,rosuvastatin
duloxotine,duloxetine
qvar50,qvar 50
sylk,silk
mitazipine,mirtazipine
bendrofkumethiazide,bendroflumethiazide
atrorvastatin,atorvastatin
bispropol,bisprolol
rosex,rotex
flixatide,flixotide
bendroflumethyazide,bendroflumethiazide
amlodipone,amlodipine
tadalifil,tadalafil
medroxyprogerterone,medroxyprogesterone
levoythyroxine,levothyroxine
adcal+d3,adcal-d3
tremadol,tramadol
penindopril,perindopril
elvange,elvanse
atorvastain,atorvastatin
prochloperazine,prochlorperazine
tadafil,tadalfil
balmeum,balneum
amyitriptyline,amitriptyline
valsarten,valsartan
lansporazole,lansoprazole
sulfazaladine,sulfazalazine
prochlorperaxine,prochlorperazine
anthistamine,antihistamine
lansoprzole,lansoprazole
stertraline,sertraline
alovastatin,lovastatin
letrosol,letrozol
azathioprime,azathioprine
dihydracodeine,dihydrocodeine
mirtrazapine,mirtazapine
montelukust,montelukast
merbeverine,mebeverine
iburprofen,ibuprofen
oestogel,oestrogel
tipex,topex
calichew,calcichew
zormorph,zomorph
doxaxosin,doxazosin
elkira,eklira
elcon,econ
